,Common name,Family,IUCN,Order,Subspecies,BioSample,Bioproject accession,Captivity details,Coordinate notes,Country,County/District,Date collected,Elevation (masl),Genome Accession,Latitude,Longitude,Museum ID/Source specimen ID,SRA Accession,Sexb10k,Site,Source institution,State/Province,Tissue,CG content(%),"Complete BUSCOs (C, %)","Complete and duplicated BUSCOs (D, %)","Complete and single-copy BUSCOs (S, %)",Contig_L50 (bp),Contig_N50 (bp),Contig_Num,Depth,"Fragmented BUSCOs (F, %)",Gap_Len (bp),Gap_Ratio (%),"Missing BUSCOs (M, %)",Scaffold_L50 (bp),Scaffold_N50 (bp),Scaffold_Num (bp),Total_Len (bp),AssemblyAccession,AssemblyName,Organism,AssemblyStatus,Coverage,ContigN50,ScaffoldN50,Sex,Species,Complex_ZW,dnms
15,African Darter,Anhingidae,Least Concern,Pelecaniformes,rufa,SAMN12253935,PRJNA545868,,,Namibia,,19-Aug-09,230,VZTV00000000,28.86 S,18.55 E,USNM:642540,"SRR9946935, SRR9946936, SRR9946937, SRR9946938",Male,Sandfontein near Orange River,"National Museum of Natural History, Smithsonian Institution, USA",Karas,missing,42.39,51.4,0.6,50.8,28421,9012,843346,48.0,13.9,78878173,7.38,34.7,16650,15661,641645,1069512267,GCA_013400875.1,ASM1340087v1,Anhinga rufa (African darter),Scaffold,48,12297.0,16986.0,male,Anhinga_rufa,False,0
16,Swan Goose [Domestic],Anatidae,Vulnerable,Anseriformes,monotypic,SAMN01830643,"PRJNA290577, PRJNA183603",Captive,"Captive bird, hence no coordinates",,,,,GCA_000971095.1,,,,SRP017498,Male,,"Independently published, NCBI",,blood,41.35,93.4,0.7,92.7,11638,27608,91844,107.35,3.9,35379405,3.16,2.7,64,5202740,7592,1119134887,GCF_000971095.1,AnsCyg_PRJNA183603_v1.0,Anser cygnoides domesticus (Swan goose),Scaffold,107.35,27608.0,5202740.0,male,Anser_cygnoides,False,0
17,Magpie Goose,Anseranatidae,Least Concern,Anseriformes,monotypic,SAMN12253809,PRJNA545868,Captive,"Captive bird, hence no coordinates",,,27-Nov-01,,VXAA00000000,,,USNM:623235,"SRR10019943, SRR10019944, SRR10019946, SRR9946951",Male,,"National Museum of Natural History, Smithsonian Institution, USA",,muscle,41.57,94.1,0.8,93.3,10349,31498,100744,47.0,3.7,9962218,0.88,2.2,505,621325,26934,1133397801,GCA_013399115.1,ASM1339911v1,Anseranas semipalmata (magpie goose),Scaffold,47,53214.0,628312.0,male,Anseranas_semipalmata,False,0
18,Cape Penduline Tit,Remizidae,Least Concern,Passeriformes,minutus,SAMN12253902,PRJNA545868,,,Namibia,,11-Aug-09,1030,VWYI00000000,25.11 S,19.95 E,USNM:642205,"SRR9946611, SRR9946450, SRR9946451, SRR9946453",Unknown,Viljoenskroon,"National Museum of Natural History, Smithsonian Institution, USA",Hardap,muscle,41.71,85.1,1.0,84.1,7700,34250,399694,55.0,7.0,8180865,0.81,7.9,2116,103235,316153,1008666037,GCA_013399455.1,ASM1339945v1,Anthoscopus minutus (birds),Scaffold,55,49651.0,108848.0,,Anthoscopus_minutus,False,0
19,Chuck-will's-widow,Caprimulgidae,Near Threatened,Caprimulgiformes,monotypic,SAMN02318612,PRJNA212888,,,USA,Cameron Parish,,0,GCA_000700745.1,29.78 N,93.33 W,LSUMZ:B-3403,SRP028883,Male,"East Jetty Woods, 2 mi S Cameron","Louisiana State University Museum of Natural Science, USA",Louisiana,muscle,40.89,83.1,0.5,82.6,19014,17629,354558,30.0,11.5,5834346,0.51,5.4,7037,45139,268090,1145149681,GCF_000700745.1,ASM70074v1,Antrostomus carolinensis (chuck-will's-widow),Scaffold,30,22156.0,46345.0,male,Antrostomus_carolinensis,False,0
20,Bar-tailed Trogon,Trogonidae,Least Concern,Trogoniformes,monotypic,SAMN02318033,PRJNA212878,,,Tanzania,,8-Jun-07,1320,GCA_000703405.1,7.8 S,36.5 E,NHMD:123977,SRP028834,Male,"Ndundulu Forest Reserve, Waller's Camp","Natural History Museum of Denmark, University of Copenhagen, Denmark",Iringa,blood,41.53,84.8,0.7,84.1,16620,19295,243436,28.0,10.6,6370038,0.59,4.6,5570,55759,150105,1085711737,GCF_000703405.1,ASM70340v1,Apaloderma vittatum (bar-tailed trogon),Scaffold,28,28882.0,56673.0,male,Apaloderma_vittatum,False,0
21,Florida Scrub Jay,Corvidae,Vulnerable,Passeriformes,monotypic,SAMN12253992,PRJNA545868,,,USA,Highlands,,,VZSI00000000,27.18 N,81.35 W,USGS band:1713-13619,"SRR9853747, SRR9853748, SRR9853749, SRR9853750, SRR9853751, SRR9853756",Male,Archbold Biological Station,"Cornell Lab of Ornithology, USA",Florida,blood,42.08,95.4,1.2,94.2,2548,118847,24200,221.0,2.8,19316721,1.82,1.8,40,7660078,1678,1060889110,GCA_013398375.1,ASM1339837v1,Aphelocoma coerulescens (scrub jay),Scaffold,221,133617.0,7634200.0,male,Aphelocoma_coerulescens,False,0
22,Emperor Penguin,Spheniscidae,Near Threatened,Sphenisciformes,monotypic,SAMN02596600,PRJNA235982,,Coordinates approximate from locality information,,,,,GCA_000699145.1,69.4 S,76.41 E,None,SRP035855,Male,"The Emperor Island nearby the Zhongshan Station, South Pole","Griffith University, Australia",,blood,41.65,94.0,0.8,93.2,11608,30459,108691,60.0,3.6,71904712,5.72,2.4,71,5071598,29970,1257483768,GCF_000699145.1,ASM69914v1,Aptenodytes forsteri (emperor penguin),Scaffold,60,31730.0,5071598.0,male,Aptenodytes_forsteri,False,0
23,Northern Brown Kiwi,Apterygidae,Vulnerable,Apterygiformes,monotypic,SAMEA2554516,"PRJNA294519, PRJEB6383",,Coordinates approximate from locality information fro individual from Lake Waikaremoana,New Zealand,,,,GCA_001039765.2,,,,ERP005907,Unknown,North and central part Lake Waikaremoana,"Independently published, NCBI",North Island,multiple embryos,41.49,91.7,1.3,90.4,51500,7436,695450,37.0,4.2,213327420,13.37,4.1,59,3956354,326828,1595295449,,,,,,,,,Apteryx_australis,False,0
24,Great Spotted Kiwi,Apterygidae,Vulnerable,Apterygiformes,monotypic,SAMN08476452,PRJNA433110,,Coordinates approximate from locality information,New Zealand,,2-Mar-00,,PTFD00000000.1,,,ROM:R-29945,SRP136769,Male,Hurunui,"Royal Ontario Museum, Canada",Canterbury Province,blood,41.4,93.9,1.0,92.9,3278,105490,27774,38.0,3.5,17993464,1.47,2.6,230,1371329,4316,1221582593,GCA_003342985.1,aptHaa1,Apteryx haastii (Great spotted kiwi),Scaffold,38.4,120127.0,1371329.0,male,Apteryx_haastii,False,0
25,Little Spotted Kiwi,Apterygidae,Near Threatened,Apterygiformes,monotypic,SAMN08476453,PRJNA433110,,Coordinates approximate from locality information,New Zealand,Te Mimiorakopa,9-May-88,,PTFC00000000.1,,,ROM:O-20599,SRP136769,Male,Kapiti Island,"Royal Ontario Museum, Canada",South Auckland Province,blood,41.53,90.1,1.0,89.1,2708,128129,27321,61.0,6.0,17377009,1.41,3.9,201,1622467,5180,1231372114,GCA_003342965.1,aptOwe1,Apteryx owenii (little spotted kiwi),Scaffold,60.5,138403.0,1622467.0,male,Apteryx_owenii,False,0
26,Okarito Brown Kiwi,Apterygidae,Vulnerable,Apterygiformes,monotypic,SAMN08476454,PRJNA433110,,Coordinates approximate from locality information,New Zealand,,16-Jul-93,,PTFB00000000.1,,,ROM:R-43461,SRP136769,Male,Okarito,"Royal Ontario Museum, Canada",Westland Province,blood,41.52,89.3,1.1,88.2,2896,120245,26114,54.0,6.5,18579063,1.51,4.2,181,1672276,4228,1229006195,GCF_003343035.1,aptRow1,Apteryx rowi (Okarito brown kiwi),Scaffold,54.3,129376.0,1672276.0,male,Apteryx_rowi,False,0
27,Golden Eagle,Accipitridae,Least Concern,Accipitriformes,canadensis,SAMN03079786,"PRJNA277694, PRJNA256103",,,USA,,6-Dec-12,,GCA_000766835.1,,,,SRP044913,Male,"the California foothills of the southern Sierra Nevada, between the Central Valley and the Mojave Desert","Independently published, NCBI",California,blood,41.81,95.3,1.0,94.3,2369,146947,18921,88.0,2.8,12708611,1.07,1.9,40,9230743,1142,1192743076,,,,,,,,,Aquila_chrysaetos_canadensis,False,0
28,Limpkin,Aramidae,Least Concern,Gruiformes,guarauna,SAMN12253836,PRJNA545868,,Coordinates approximate from locality information,Uruguay,,25-Oct-05,,VXBL00000000,33.73 S,53.68 W,USNM:635727,"SRR10019883, SRR10019898, SRR10019899",Female,"18 de Julio, 13.6 km W, roadside","National Museum of Natural History, Smithsonian Institution, USA",Rocha,muscle,41.83,94.4,0.9,93.5,10160,32514,136175,47.0,3.5,10181571,0.87,2.1,386,803774,43910,1173814118,GCA_013400195.1,ASM1340019v1,Aramus guarauna (limpkin),Scaffold,47,62981.0,810609.0,female,Aramus_guarauna,False,0
29,Kori Bustard,Otididae,Near Threatened,Otidiformes,unable to determine (captive bird),SAMN12253748,PRJNA545868,"Captive: Jacksonville Zoo: Jacksonville, Florida","Captive bird, hence no coordinates",,,,,VWPR00000000,,,Tissue LSUMZ:B-58791; voucher FLMNH 44254,"SRR9946523, SRR9946750, SRR9946751",Female,,"Louisiana State University Museum of Natural Science, USA",,muscle,41.75,93.3,0.8,92.5,6566,48383,50997,57.0,4.0,38493905,3.35,2.7,481,640289,9397,1150502741,GCA_013396375.1,ASM1339637v1,Ardeotis kori (birds),Scaffold,57,53368.0,639944.0,female,Ardeotis_kori,False,0
30,Ruddy Turnstone,Scolopacidae,Least Concern,Charadriiformes,morinella (?),SAMN12253884,PRJNA545868,,Coordinates approximate from locality information,Panama,,27-Apr-90,,VXAK00000000,9.08 N,81.85 W,USNM:607650,"SRR9946658, SRR9946659, SRR9946666, SRR9946667",Female,"Punta Alegre, Peninsula Valiente","National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,liver,42.15,88.7,0.8,87.9,8965,33651,179180,40.0,6.5,10102468,0.89,4.8,1627,179026,99114,1131680239,GCA_013399435.1,ASM1339943v1,Arenaria interpres (ruddy turnstone),Scaffold,40,48252.0,181329.0,female,Arenaria_interpres,False,0
31,White-winged Duck,Anatidae,Endangered,Anseriformes,monotypic,SAMN12254003,PRJNA545868,Captive; Sylvan Heights Bird Park,"Captive bird, hence no coordinates",USA,,17-Feb-12,,VZSO00000000,,,Studbook number 510,SRR9853672,Female,,"East Carolina University, USA","Scotland Neck, NC",kidney,41.51,90.8,0.9,89.9,3396,91216,34121,110.0,5.6,16976870,1.52,3.6,60,6085365,9117,1117998568,GCA_013398475.1,ASM1339847v1,Asarcornis scutulata (birds),Scaffold,110,91211.0,5635001.0,female,Asarcornis_scutulata,False,0
32,Inaccessible Island Rail,Rallidae,Vulnerable,Gruiformes,monotypic,SAMN12254006,PRJNA545868,,,United Kingdom,,23-Sep-11,11,VZUJ00000000,37.29 S,12.69 W,SAFRING no. 4H544305,SRR9853853,Male,Inaccessible Island,"Hansson lab, Lund University","Saint Helena, Ascension and Tristan da Cunha",blood,43.5,66.4,0.8,65.6,8809,34547,279623,41.0,17.1,107266,0.01,16.5,8560,35357,277916,1202655028,GCA_013401215.1,ASM1340121v1,Atlantisia rogersi (Inaccessible Island rail),Scaffold,41,36139.0,36904.0,male,Atlantisia_rogersi,False,0
33,Noisy Scrubbird,Atrichornithidae,Endangered,Passeriformes,monotypic,SAMN12253955,PRJNA545868,,"Sensitive species, coordinates not oublicly available",Australia,,21-May-01,30,WBMZ00000000,,,NSB-01F01,"SRR9947332, SRR9947333, SRR9947342",Female,"Mt Manypeaks Nature Reserve, Albany","Curtin University, Australia",Western Australia,blood,42.17,93.2,0.9,92.3,3662,81692,101499,95.0,4.6,1487789,0.14,2.2,2031,146885,85575,1054828706,GCA_013400975.1,ASM1340097v1,Atrichornis clamosus (birds),Scaffold,94,125279.0,147592.0,female,Atrichornis_clamosus,False,0
34,Shoebill,Balaenicipitidae,Vulnerable,Pelecaniformes,monotypic,SAMN12253916,PRJNA545868,Captive,,,,30-Dec-09,,VYZW00000000,,,USNM:647255,"SRR9947092, SRR9947093, SRR9947379, SRR9947378",Female,,"National Museum of Natural History, Smithsonian Institution, USA",,missing,42.55,65.8,0.6,65.2,15556,16856,713392,49.0,10.9,117480276,9.58,23.3,5014,57167,425162,1226406357,GCA_013401315.1,ASM1340131v1,Balaeniceps rex (shoebill),Scaffold,49,24547.0,60453.0,female,Balaeniceps_rex,False,0
35,Grey-crowned Crane,Gruidae,Endangered,Gruiformes,gibbericeps (?),SAMN02318095,PRJNA212879,"Captive; Givskud Zoo, Denmark; hatched 14-7-1992","Captive bird, hence no coordinates",,,,,GCA_000709895.1,,,Chip:8FF07,SRP028839,Male,Givskud Zoo,"Copenhagen Zoo, Denmark",,blood,41.33,87.9,0.7,87.2,18748,18319,218255,33.0,8.4,5468987,0.48,3.7,6287,51598,125371,1138861064,GCF_000709895.1,ASM70989v1,Balearica regulorum gibbericeps (East African grey crowned-crane),Scaffold,33,23333.0,52178.0,male,Balearica_regulorum,False,0
36,Rufous Motmot,Momotidae,Least Concern,Coraciiformes,semirufus,SAMN12253779,PRJNA545868,,Coordinates approximate from locality information,Panama,,4-Feb-89,,VWZK00000000,9.24 N,82.26 W,USNM:606819,"SRR10019912, SRR10019923, SRR9946747",Female,"Isla Cristobal, Bocatorito","National Museum of Natural History, Smithsonian Institution, USA",Bocas Del Toro,muscle,42.04,91.0,0.9,90.1,7453,41052,218711,44.0,5.6,7089819,0.63,3.4,1279,219300,157737,1116581886,GCA_013396935.1,ASM1339693v1,Baryphthengus martii (birds),Scaffold,44,70136.0,225352.0,female,Baryphthengus_martii,False,0
37,Bohemian Waxwing,Bombycillidae,Least Concern,Passeriformes,pallidiceps,SAMN12253844,PRJNA545868,,,USA,,6-Jul-07,640,VXBU00000000,64.54 N,141.25 W,USNM:638986,"SRR9947052, SRR9947009, SRR9947014, SRR9947020",Female,Taylor Highway at North Fork King Solomon Creek,"National Museum of Natural History, Smithsonian Institution, USA",Alaska,muscle,41.8,92.9,1.0,91.9,8529,33314,178197,50.0,4.3,12037635,1.16,2.8,441,605066,90930,1039718708,GCA_013400315.1,ASM1340031v1,Bombycilla garrulus (bohemian waxwing),Scaffold,50,64047.0,615058.0,female,Bombycilla_garrulus,False,0
38,Black-headed Bulbul,Pycnonotidae,Least Concern,Passeriformes,atriceps,SAMN12253996,PRJNA545868,,,Malaysia,,16-Aug-04,130,VZSR00000000,5.62 N,117.19 E,LSUMZ:B-50336,SRR9853727,Female,"Tawai Forest Reserve, Ulu Rukutuku","Louisiana State University Museum of Natural Science, USA",Sabah,liver,41.79,87.8,0.8,87.0,2961,85408,32563,155.0,5.5,3565023,0.39,6.7,14,17537833,3820,906727256,GCA_013398615.1,ASM1339861v1,Brachypodius atriceps (black-headed bulbul),Scaffold,155,85408.0,17537833.0,female,Brachypodius_atriceps,False,0
39,Short-legged Ground-roller,Brachypteraciidae,Vulnerable,Coraciiformes,monotypic,SAMN12253914,PRJNA545868,,,Madagascar,Fivondronana de Tolagnaro,25-Nov-89,750,VYZX00000000,24 S,46.8,FMNH:345686,"SRR9947373, SRR9947371, SRR9947372, SRR9946511, SRR9946512, SRR9946513, SRR9946514, SRR9946516",Male,"Marosohy Forest, along Enakara-Antseva Trail, 15.5 km WNW Ranoma","Field Museum of Natural History, USA",Toliara,missing,41.86,85.3,0.9,84.4,11605,22474,385807,62.0,6.7,68346026,5.99,8.0,1981,127905,186452,1141948106,GCA_013401335.1,ASM1340133v1,Brachypteracias leptosomus (short-legged ground-roller),Scaffold,62,40314.0,130665.0,male,Brachypteracias_leptosomus,False,0
40,Collared Puffbird,Bucconidae,Least Concern,Piciformes,monotypic,SAMN12253774,PRJNA545868,,,Guyana,,31-Aug-98,250,VWZO00000000,1.38 N,58.93 W,USNM:587324,"SRR9994367, SRR9994368, SRR9994369",Female,"Acari Mountains, North Side","National Museum of Natural History, Smithsonian Institution, USA",,muscle,42.5,90.8,1.0,89.8,11476,20418,233184,54.0,5.3,16398541,1.64,3.9,655,332821,128406,999448313,GCA_013396975.1,ASM1339697v1,Bucco capensis (collared puffbird),Scaffold,54,66968.0,338467.0,female,Bucco_capensis,False,0
41,Rhinoceros Hornbill,Bucerotidae,Vulnerable,Bucerotiformes,silvestris,SAMN02318191,PRJNA212887,"Chip: 208219000004613, probably born in the wild around 1989, bought from animal dealer Van der Brink in 1992. Died 04-12-2006.","Captive bird, hence no coordinates",,,,,GCA_000710305.1,,,NHMD:131346,SRP028845,Male,,"Natural History Museum of Denmark, University of Copenhagen, Denmark",,muscle,43.0,85.9,0.5,85.4,22804,13946,515604,35.0,9.2,20474472,1.85,4.9,6141,50938,376322,1105159377,GCF_000710305.1,ASM71030v1,Buceros rhinoceros silvestris (Rhinoceros hornbill),Scaffold,35,14587.0,53203.0,male,Buceros_rhinoceros,False,0
42,Northern Ground Hornbill,Bucerotidae,Vulnerable,Bucerotiformes,monotypic,SAMN12253919,PRJNA545868,Captive,"Captive bird, hence no coordinates",,,30-Oct-08,,VYZL00000000,,,,"SRR9946601, SRR9946603, SRR9946604",,,"Copenhagen Zoo, Denmark",,missing,43.01,94.6,1.1,93.5,3176,100552,56386,93.0,3.2,4297570,0.39,2.2,263,1077579,29128,1104632781,GCA_013398885.1,ASM1339888v1,Bucorvus abyssinicus (Abyssinian ground-hornbill),Scaffold,93,163894.0,1077696.0,,Bucorvus_abyssinicus,False,0
